"employee_id","first_name","last_name","email","phone_number","job_id","salary","commission_pct","manager_id","department_id"
128,Steven,Markle,SMARKLE,"650.124.1434",ST_CLERK,2200.0,,120,50
129,Laura,Bissot,LBISSOT,"650.124.5234",ST_CLERK,3300.0,,121,50
130,Mozhe,Atkinson,MATKINSO,"650.124.6234",ST_CLERK,2800.0,,121,50
131,James,Marlow,JAMRLOW,"650.124.7234",ST_CLERK,2500.0,,121,50
132,TJ,Olson,TJOLSON,"650.124.8234",ST_CLERK,2100.0,,121,50
133,Jason,Mallin,JMALLIN,"650.127.1934",ST_CLERK,3300.0,,122,50
134,Michael,Rogers,MROGERS,"650.127.1834",ST_CLERK,2900.0,,122,50
135,Ki,Gee,KGEE,"650.127.1734",ST_CLERK,2400.0,,122,50
136,Hazel,Philtanker,HPHILTAN,"650.127.1634",ST_CLERK,2200.0,,122,50
137,Renske,Ladwig,RLADWIG,"650.121.1234",ST_CLERK,3600.0,,123,50
138,Stephen,Stiles,SSTILES,"650.121.2034",ST_CLERK,3200.0,,123,50
139,John,Seo,JSEO,"650.121.2019",ST_CLERK,2700.0,,123,50
140,Joshua,Patel,JPATEL,"650.121.1834",ST_CLERK,2500.0,,123,50
141,Trenna,Rajs,TRAJS,"650.121.8009",ST_CLERK,3500.0,,124,50
142,Curtis,Davies,CDAVIES,"650.121.2994",ST_CLERK,3100.0,,124,50
143,Randall,Matos,RMATOS,"650.121.2874",ST_CLERK,2600.0,,124,50
144,Peter,Vargas,PVARGAS,"650.121.2004",ST_CLERK,2500.0,,124,50
145,John,Russell,JRUSSEL,"011.44.1344.429268",SA_MAN,14000.0,0.4,100,80
146,Karen,Partners,KPARTNER,"011.44.1344.467268",SA_MAN,13500.0,0.3,100,80
147,Alberto,Errazuriz,AERRAZUR,"011.44.1344.429278",SA_MAN,12000.0,0.3,100,80
148,Gerald,Cambrault,GCAMBRAU,"011.44.1344.619268",SA_MAN,11000.0,0.3,100,80
149,Eleni,Zlotkey,EZLOTKEY,"011.44.1344.429018",SA_MAN,10500.0,0.2,100,80
150,Peter,Tucker,PTUCKER,"011.44.1344.129268",SA_REP,10000.0,0.3,145,80
151,David,Bernstein,DBERNSTE,"011.44.1344.345268",SA_REP,9500.0,0.25,145,80
152,Peter,Hall,PHALL,"011.44.1344.478968",SA_REP,9000.0,0.25,145,80
153,Christopher,Olsen,COLSEN,"011.44.1344.498718",SA_REP,8000.0,0.2,145,80
154,Nanette,Cambrault,NCAMBRAU,"011.44.1344.987668",SA_REP,7500.0,0.2,145,80
155,Oliver,Tuvault,OTUVAULT,"011.44.1344.486508",SA_REP,7000.0,0.15,145,80
156,Janette,King,JKING,"011.44.1345.429268",SA_REP,10000.0,0.35,146,80
157,Patrick,Sully,PSULLY,"011.44.1345.929268",SA_REP,9500.0,0.35,146,80
158,Allan,McEwen,AMCEWEN,"011.44.1345.829268",SA_REP,9000.0,0.35,146,80
159,Lindsey,Smith,LSMITH,"011.44.1345.729268",SA_REP,8000.0,0.3,146,80
160,Louise,Doran,LDORAN,"011.44.1345.629268",SA_REP,7500.0,0.3,146,80
161,Sarath,Sewall,SSEWALL,"011.44.1345.529268",SA_REP,7000.0,0.25,146,80
162,Clara,Vishney,CVISHNEY,"011.44.1346.129268",SA_REP,10500.0,0.25,147,80
163,Danielle,Greene,DGREENE,"011.44.1346.229268",SA_REP,9500.0,0.15,147,80
164,Mattea,Marvins,MMARVINS,"011.44.1346.329268",SA_REP,7200.0,0.1,147,80
165,David,Lee,DLEE,"011.44.1346.529268",SA_REP,6800.0,0.1,147,80
166,Sundar,Ande,SANDE,"011.44.1346.629268",SA_REP,6400.0,0.1,147,80
167,Amit,Banda,ABANDA,"011.44.1346.729268",SA_REP,6200.0,0.1,147,80
168,Lisa,Ozer,LOZER,"011.44.1343.929268",SA_REP,11500.0,0.25,148,80
169,Harrison,Bloom,HBLOOM,"011.44.1343.829268",SA_REP,10000.0,0.2,148,80
170,Tayler,Fox,TFOX,"011.44.1343.729268",SA_REP,9600.0,0.2,148,80
171,William,Smith,WSMITH,"011.44.1343.629268",SA_REP,7400.0,0.15,148,80
172,Elizabeth,Bates,EBATES,"011.44.1343.529268",SA_REP,7300.0,0.15,148,80
173,Sundita,Kumar,SKUMAR,"011.44.1343.329268",SA_REP,6100.0,0.1,148,80
174,Ellen,Abel,EABEL,"011.44.1644.429267",SA_REP,11000.0,0.3,149,80
175,Alyssa,Hutton,AHUTTON,"011.44.1644.429266",SA_REP,8800.0,0.25,149,80
176,Jonathon,Taylor,JTAYLOR,"011.44.1644.429265",SA_REP,8600.0,0.2,149,80
177,Jack,Livingston,JLIVINGS,"011.44.1644.429264",SA_REP,8400.0,0.2,149,80
178,Kimberely,Grant,KGRANT,"011.44.1644.429263",SA_REP,7000.0,0.15,149,
179,Charles,Johnson,CJOHNSON,"011.44.1644.429262",SA_REP,6200.0,0.1,149,80
180,Winston,Taylor,WTAYLOR,"650.507.9876",SH_CLERK,3200.0,,120,50
181,Jean,Fleaur,JFLEAUR,"650.507.9877",SH_CLERK,3100.0,,120,50
182,Martha,Sullivan,MSULLIVA,"650.507.9878",SH_CLERK,2500.0,,120,50
183,Girard,Geoni,GGEONI,"650.507.9879",SH_CLERK,2800.0,,120,50
184,Nandita,Sarchand,NSARCHAN,"650.509.1876",SH_CLERK,4200.0,,121,50
185,Alexis,Bull,ABULL,"650.509.2876",SH_CLERK,4100.0,,121,50
186,Julia,Dellinger,JDELLING,"650.509.3876",SH_CLERK,3400.0,,121,50
187,Anthony,Cabrio,ACABRIO,"650.509.4876",SH_CLERK,3000.0,,121,50
188,Kelly,Chung,KCHUNG,"650.505.1876",SH_CLERK,3800.0,,122,50
189,Jennifer,Dilly,JDILLY,"650.505.2876",SH_CLERK,3600.0,,122,50
190,Timothy,Gates,TGATES,"650.505.3876",SH_CLERK,2900.0,,122,50
191,Randall,Perkins,RPERKINS,"650.505.4876",SH_CLERK,2500.0,,122,50
192,Sarah,Bell,SBELL,"650.501.1876",SH_CLERK,4000.0,,123,50
193,Britney,Everett,BEVERETT,"650.501.2876",SH_CLERK,3900.0,,123,50
194,Samuel,McCain,SMCCAIN,"650.501.3876",SH_CLERK,3200.0,,123,50
195,Vance,Jones,VJONES,"650.501.4876",SH_CLERK,2800.0,,123,50
196,Alana,Walsh,AWALSH,"650.507.9811",SH_CLERK,3100.0,,124,50
197,Kevin,Feeney,KFEENEY,"650.507.9822",SH_CLERK,3000.0,,124,50
198,Donald,OConnell,DOCONNEL,"650.507.9833",SH_CLERK,2600.0,,124,50
199,Douglas,Grant,DGRANT,"650.507.9844",SH_CLERK,2600.0,,124,50
200,Jennifer,Whalen,JWHALEN,"515.123.4444",AD_ASST,4400.0,,101,10
201,Michael,Hartstein,MHARTSTE,"515.123.5555",MK_MAN,13000.0,,100,20
202,Pat,Fay,PFAY,"603.123.6666",MK_REP,6000.0,,201,20
203,Susan,Mavris,SMAVRIS,"515.123.7777",HR_REP,6500.0,,101,40
204,Hermann,Baer,HBAER,"515.123.8888",PR_REP,10000.0,,101,70
205,Shelley,Higgins,SHIGGINS,"515.123.8080",AC_MGR,12000.0,,101,110
206,William,Gietz,WGIETZ,"515.123.8181",AC_ACCOUNT,8300.0,,205,110
